Vocab size: 100
Model config: {'vocab_size': 100, 'd_model': 256, 'd_ff': 2048, 'n_head': 8, 'd_kv': 64, 'n_encoder_layers': 4, 'n_decoder_layers': 4, 'dropout': 0.04, 'attn_dropout': 0.0, 'relative_attention_num_buckets': 32, 'relative_attention_max_distance': 128}
Pretrained: embedding mapped 38/100 tokens
Pretrained: loaded encoder (4L) + decoder (4L) weights from /home/saumya/.cache/autoresearch/pretrained/models/pretrain/simple
Total parameters: 14,712,576
Estimated FLOPs per sample: 8.827546e+07
Time budget: 300s

step 11852 (85.8%) | loss: 0.019343 | mae: 29.97 | lrm: 0.47 | dt: 22ms | epoch: 74 | remaining: 42s    
step 11853 (85.8%) | loss: 0.019443 | mae: 29.89 | lrm: 0.47 | dt: 22ms | epoch: 74 | remaining: 42s    
step 11854 (85.8%) | loss: 0.019103 | mae: 25.40 | lrm: 0.47 | dt: 22ms | epoch: 74 | remaining: 42s    
step 11855 (85.8%) | loss: 0.018681 | mae: 35.03 | lrm: 0.47 | dt: 22ms | epoch: 74 | remaining: 42s    
step 11856 (85.9%) | loss: 0.018714 | mae: 25.00 | lrm: 0.47 | dt: 22ms | epoch: 74 | remaining: 42s    
step 11857 (85.9%) | loss: 0.018452 | mae: 27.93 | lrm: 0.47 | dt: 22ms | epoch: 74 | remaining: 42s    
step 11858 (85.9%) | loss: 0.018114 | mae: 30.42 | lrm: 0.47 | dt: 22ms | epoch: 74 | remaining: 42s    
step 11859 (85.9%) | loss: 0.018214 | mae: 30.61 | lrm: 0.47 | dt: 22ms | epoch: 74 | remaining: 42s    
step 11860 (85.9%) | loss: 0.018926 | mae: 27.09 | lrm: 0.47 | dt: 22ms | epoch: 74 | remaining: 42s    
step 11861 (85.9%) | loss: 0.019390 | mae: 34.98 | lrm: 0.47 | dt: 22ms | epoch: 74 | remaining: 42s    
step 11862 (85.9%) | loss: 0.018969 | mae: 31.28 | lrm: 0.47 | dt: 22ms | epoch: 74 | remaining: 42s    
step 11863 (85.9%) | loss: 0.018653 | mae: 38.16 | lrm: 0.47 | dt: 22ms | epoch: 74 | remaining: 42s    
step 11864 (85.9%) | loss: 0.018033 | mae: 33.80 | lrm: 0.47 | dt: 22ms | epoch: 74 | remaining: 42s    
step 11865 (85.9%) | loss: 0.018414 | mae: 31.56 | lrm: 0.47 | dt: 22ms | epoch: 74 | remaining: 42s    
step 11866 (85.9%) | loss: 0.018430 | mae: 33.69 | lrm: 0.47 | dt: 22ms | epoch: 74 | remaining: 42s    
step 11867 (85.9%) | loss: 0.017966 | mae: 28.75 | lrm: 0.47 | dt: 22ms | epoch: 74 | remaining: 42s    
step 11868 (85.9%) | loss: 0.018154 | mae: 27.56 | lrm: 0.47 | dt: 22ms | epoch: 74 | remaining: 42s    
step 11869 (86.0%) | loss: 0.017985 | mae: 37.95 | lrm: 0.47 | dt: 22ms | epoch: 74 | remaining: 42s    
step 11870 (86.0%) | loss: 0.018976 | mae: 31.58 | lrm: 0.47 | dt: 22ms | epoch: 74 | remaining: 42s    
step 11871 (86.0%) | loss: 0.018654 | mae: 34.78 | lrm: 0.47 | dt: 22ms | epoch: 74 | remaining: 42s    
step 11872 (86.0%) | loss: 0.019630 | mae: 27.62 | lrm: 0.47 | dt: 22ms | epoch: 74 | remaining: 42s    
step 11873 (86.0%) | loss: 0.019818 | mae: 37.05 | lrm: 0.47 | dt: 22ms | epoch: 74 | remaining: 42s    
step 11874 (86.0%) | loss: 0.020111 | mae: 37.70 | lrm: 0.47 | dt: 22ms | epoch: 74 | remaining: 42s    
step 11875 (86.0%) | loss: 0.020577 | mae: 27.79 | lrm: 0.47 | dt: 22ms | epoch: 74 | remaining: 42s    
step 11876 (86.0%) | loss: 0.019913 | mae: 27.08 | lrm: 0.47 | dt: 22ms | epoch: 74 | remaining: 42s    
step 11877 (86.0%) | loss: 0.019596 | mae: 38.10 | lrm: 0.47 | dt: 22ms | epoch: 74 | remaining: 42s    
step 11878 (86.0%) | loss: 0.019284 | mae: 32.14 | lrm: 0.47 | dt: 22ms | epoch: 74 | remaining: 42s    
step 11879 (86.0%) | loss: 0.018747 | mae: 30.91 | lrm: 0.47 | dt: 22ms | epoch: 74 | remaining: 42s    
step 11880 (86.0%) | loss: 0.018314 | mae: 28.67 | lrm: 0.47 | dt: 22ms | epoch: 74 | remaining: 42s    
step 11881 (86.0%) | loss: 0.018634 | mae: 35.54 | lrm: 0.47 | dt: 22ms | epoch: 74 | remaining: 42s    
step 11882 (86.0%) | loss: 0.018934 | mae: 30.57 | lrm: 0.47 | dt: 22ms | epoch: 74 | remaining: 42s    
step 11883 (86.1%) | loss: 0.019886 | mae: 28.34 | lrm: 0.46 | dt: 22ms | epoch: 74 | remaining: 42s    
step 11884 (86.1%) | loss: 0.020148 | mae: 33.86 | lrm: 0.46 | dt: 22ms | epoch: 74 | remaining: 42s    
step 11885 (86.1%) | loss: 0.019905 | mae: 31.61 | lrm: 0.46 | dt: 22ms | epoch: 74 | remaining: 42s    
step 11886 (86.1%) | loss: 0.019915 | mae: 29.00 | lrm: 0.46 | dt: 22ms | epoch: 74 | remaining: 42s    
step 11887 (86.1%) | loss: 0.020266 | mae: 30.25 | lrm: 0.46 | dt: 22ms | epoch: 74 | remaining: 42s    
step 11888 (86.1%) | loss: 0.020233 | mae: 30.54 | lrm: 0.46 | dt: 22ms | epoch: 74 | remaining: 42s    
step 11889 (86.1%) | loss: 0.019620 | mae: 33.31 | lrm: 0.46 | dt: 22ms | epoch: 74 | remaining: 42s    
step 11890 (86.1%) | loss: 0.019459 | mae: 35.40 | lrm: 0.46 | dt: 22ms | epoch: 74 | remaining: 42s    
step 11891 (86.1%) | loss: 0.019318 | mae: 35.09 | lrm: 0.46 | dt: 22ms | epoch: 74 | remaining: 42s    
step 11892 (86.1%) | loss: 0.019074 | mae: 34.54 | lrm: 0.46 | dt: 22ms | epoch: 74 | remaining: 42s    
step 11893 (86.1%) | loss: 0.019728 | mae: 36.17 | lrm: 0.46 | dt: 22ms | epoch: 74 | remaining: 42s    
step 11894 (86.1%) | loss: 0.019796 | mae: 28.89 | lrm: 0.46 | dt: 22ms | epoch: 74 | remaining: 42s    
step 11895 (86.1%) | loss: 0.019445 | mae: 35.43 | lrm: 0.46 | dt: 22ms | epoch: 74 | remaining: 42s    
step 11896 (86.1%) | loss: 0.019019 | mae: 35.97 | lrm: 0.46 | dt: 22ms | epoch: 74 | remaining: 42s    
step 11897 (86.2%) | loss: 0.018808 | mae: 29.10 | lrm: 0.46 | dt: 22ms | epoch: 74 | remaining: 42s    
step 11898 (86.2%) | loss: 0.019509 | mae: 18.89 | lrm: 0.46 | dt: 22ms | epoch: 74 | remaining: 41s    
step 11899 (86.2%) | loss: 0.019657 | mae: 34.83 | lrm: 0.46 | dt: 22ms | epoch: 74 | remaining: 41s    
step 11900 (86.2%) | loss: 0.019733 | mae: 38.56 | lrm: 0.46 | dt: 22ms | epoch: 74 | remaining: 41s    
step 11901 (86.2%) | loss: 0.020149 | mae: 26.66 | lrm: 0.46 | dt: 22ms | epoch: 74 | remaining: 41s    
step 11902 (86.2%) | loss: 0.019878 | mae: 24.57 | lrm: 0.46 | dt: 22ms | epoch: 74 | remaining: 41s    
step 11903 (86.2%) | loss: 0.019565 | mae: 30.25 | lrm: 0.46 | dt: 22ms | epoch: 74 | remaining: 41s    
step 11904 (86.2%) | loss: 0.020005 | mae: 28.67 | lrm: 0.46 | dt: 22ms | epoch: 74 | remaining: 41s    
step 11905 (86.2%) | loss: 0.019743 | mae: 32.84 | lrm: 0.46 | dt: 22ms | epoch: 74 | remaining: 41s    
step 11906 (86.2%) | loss: 0.019619 | mae: 37.41 | lrm: 0.46 | dt: 22ms | epoch: 74 | remaining: 41s    
step 11907 (86.2%) | loss: 0.019261 | mae: 31.42 | lrm: 0.46 | dt: 22ms | epoch: 74 | remaining: 41s    
step 11908 (86.2%) | loss: 0.018337 | mae: 25.70 | lrm: 0.46 | dt: 22ms | epoch: 74 | remaining: 41s    
step 11909 (86.2%) | loss: 0.018498 | mae: 36.41 | lrm: 0.46 | dt: 22ms | epoch: 74 | remaining: 41s    
step 11910 (86.2%) | loss: 0.018634 | mae: 34.74 | lrm: 0.46 | dt: 22ms | epoch: 74 | remaining: 41s    
step 11911 (86.3%) | loss: 0.019674 | mae: 29.35 | lrm: 0.46 | dt: 22ms | epoch: 74 | remaining: 41s    
step 11912 (86.3%) | loss: 0.019703 | mae: 30.07 | lrm: 0.46 | dt: 22ms | epoch: 74 | remaining: 41s    
step 11913 (86.3%) | loss: 0.019081 | mae: 30.52 | lrm: 0.46 | dt: 22ms | epoch: 74 | remaining: 41s    
step 11914 (86.3%) | loss: 0.018581 | mae: 30.43 | lrm: 0.46 | dt: 22ms | epoch: 74 | remaining: 41s    
step 11915 (86.3%) | loss: 0.018472 | mae: 28.86 | lrm: 0.46 | dt: 22ms | epoch: 74 | remaining: 41s    
step 11916 (86.3%) | loss: 0.018077 | mae: 29.50 | lrm: 0.46 | dt: 22ms | epoch: 74 | remaining: 41s    
step 11917 (86.3%) | loss: 0.018236 | mae: 37.09 | lrm: 0.46 | dt: 22ms | epoch: 74 | remaining: 41s    
step 11918 (86.3%) | loss: 0.018410 | mae: 25.90 | lrm: 0.46 | dt: 22ms | epoch: 74 | remaining: 41s    
step 11919 (86.3%) | loss: 0.018432 | mae: 26.97 | lrm: 0.46 | dt: 22ms | epoch: 74 | remaining: 41s    
step 11920 (86.3%) | loss: 0.018505 | mae: 30.64 | lrm: 0.46 | dt: 22ms | epoch: 74 | remaining: 41s    
step 11921 (86.3%) | loss: 0.018882 | mae: 26.62 | lrm: 0.46 | dt: 22ms | epoch: 74 | remaining: 41s    
step 11922 (86.3%) | loss: 0.018775 | mae: 34.41 | lrm: 0.46 | dt: 22ms | epoch: 74 | remaining: 41s    
step 11923 (86.3%) | loss: 0.019333 | mae: 29.02 | lrm: 0.46 | dt: 22ms | epoch: 74 | remaining: 41s    
step 11924 (86.4%) | loss: 0.019197 | mae: 33.35 | lrm: 0.45 | dt: 22ms | epoch: 74 | remaining: 41s    
step 11925 (86.4%) | loss: 0.018900 | mae: 38.14 | lrm: 0.45 | dt: 22ms | epoch: 74 | remaining: 41s    
step 11926 (86.4%) | loss: 0.019306 | mae: 30.69 | lrm: 0.45 | dt: 22ms | epoch: 74 | remaining: 41s    
step 11927 (86.4%) | loss: 0.019514 | mae: 31.57 | lrm: 0.45 | dt: 22ms | epoch: 74 | remaining: 41s    
step 11928 (86.4%) | loss: 0.019366 | mae: 33.19 | lrm: 0.45 | dt: 22ms | epoch: 74 | remaining: 41s    
step 11929 (86.4%) | loss: 0.018904 | mae: 38.95 | lrm: 0.45 | dt: 22ms | epoch: 74 | remaining: 41s    
step 11930 (86.4%) | loss: 0.019164 | mae: 32.35 | lrm: 0.45 | dt: 22ms | epoch: 74 | remaining: 41s    
step 11931 (86.4%) | loss: 0.019928 | mae: 32.34 | lrm: 0.45 | dt: 22ms | epoch: 74 | remaining: 41s    
step 11932 (86.4%) | loss: 0.020251 | mae: 32.54 | lrm: 0.45 | dt: 22ms | epoch: 74 | remaining: 41s    
step 11933 (86.4%) | loss: 0.020063 | mae: 35.52 | lrm: 0.45 | dt: 22ms | epoch: 74 | remaining: 41s    
step 11934 (86.4%) | loss: 0.020123 | mae: 30.27 | lrm: 0.45 | dt: 22ms | epoch: 74 | remaining: 41s    
step 11935 (86.4%) | loss: 0.019744 | mae: 29.17 | lrm: 0.45 | dt: 22ms | epoch: 74 | remaining: 41s    
step 11936 (86.4%) | loss: 0.019610 | mae: 25.17 | lrm: 0.45 | dt: 22ms | epoch: 74 | remaining: 41s    
step 11937 (86.4%) | loss: 0.019794 | mae: 27.21 | lrm: 0.45 | dt: 22ms | epoch: 74 | remaining: 41s    
step 11938 (86.5%) | loss: 0.019968 | mae: 31.25 | lrm: 0.45 | dt: 22ms | epoch: 74 | remaining: 41s    
step 11939 (86.5%) | loss: 0.019911 | mae: 31.80 | lrm: 0.45 | dt: 22ms | epoch: 74 | remaining: 41s    
step 11940 (86.5%) | loss: 0.019201 | mae: 29.41 | lrm: 0.45 | dt: 22ms | epoch: 74 | remaining: 41s    
step 11941 (86.5%) | loss: 0.019190 | mae: 31.49 | lrm: 0.45 | dt: 22ms | epoch: 74 | remaining: 41s    
step 11942 (86.5%) | loss: 0.018746 | mae: 31.74 | lrm: 0.45 | dt: 22ms | epoch: 74 | remaining: 41s    
step 11943 (86.5%) | loss: 0.018935 | mae: 32.18 | lrm: 0.45 | dt: 22ms | epoch: 74 | remaining: 41s    
step 11944 (86.5%) | loss: 0.019118 | mae: 38.09 | lrm: 0.45 | dt: 22ms | epoch: 74 | remaining: 40s    
step 11945 (86.5%) | loss: 0.018995 | mae: 36.82 | lrm: 0.45 | dt: 22ms | epoch: 74 | remaining: 40s    
step 11946 (86.5%) | loss: 0.019413 | mae: 38.37 | lrm: 0.45 | dt: 22ms | epoch: 74 | remaining: 40s    
step 11947 (86.5%) | loss: 0.019445 | mae: 32.78 | lrm: 0.45 | dt: 22ms | epoch: 74 | remaining: 40s    
step 11948 (86.5%) | loss: 0.019729 | mae: 32.82 | lrm: 0.45 | dt: 22ms | epoch: 74 | remaining: 40s    
step 11949 (86.5%) | loss: 0.020995 | mae: 27.09 | lrm: 0.45 | dt: 22ms | epoch: 74 | remaining: 40s    
step 11950 (86.5%) | loss: 0.020384 | mae: 21.65 | lrm: 0.45 | dt: 22ms | epoch: 74 | remaining: 40s    
step 11951 (86.5%) | loss: 0.020619 | mae: 38.36 | lrm: 0.45 | dt: 22ms | epoch: 74 | remaining: 40s    
step 11952 (86.6%) | loss: 0.021281 | mae: 30.63 | lrm: 0.45 | dt: 22ms | epoch: 74 | remaining: 40s    
step 11953 (86.6%) | loss: 0.020712 | mae: 25.41 | lrm: 0.45 | dt: 22ms | epoch: 74 | remaining: 40s    
step 11954 (86.6%) | loss: 0.020571 | mae: 32.19 | lrm: 0.45 | dt: 22ms | epoch: 74 | remaining: 40s    
step 11955 (86.6%) | loss: 0.020720 | mae: 26.66 | lrm: 0.45 | dt: 22ms | epoch: 74 | remaining: 40s    
step 11956 (86.6%) | loss: 0.020334 | mae: 29.70 | lrm: 0.45 | dt: 22ms | epoch: 74 | remaining: 40s    
step 11957 (86.6%) | loss: 0.020374 | mae: 33.47 | lrm: 0.45 | dt: 22ms | epoch: 74 | remaining: 40s    
step 11958 (86.6%) | loss: 0.020225 | mae: 30.55 | lrm: 0.45 | dt: 22ms | epoch: 74 | remaining: 40s    
step 11959 (86.6%) | loss: 0.019892 | mae: 29.64 | lrm: 0.45 | dt: 22ms | epoch: 74 | remaining: 40s    
step 11960 (86.6%) | loss: 0.021183 | mae: 29.95 | lrm: 0.45 | dt: 22ms | epoch: 74 | remaining: 40s    
step 11961 (86.6%) | loss: 0.020304 | mae: 39.56 | lrm: 0.45 | dt: 22ms | epoch: 74 | remaining: 40s    
step 11962 (86.6%) | loss: 0.019974 | mae: 33.89 | lrm: 0.45 | dt: 22ms | epoch: 74 | remaining: 40s    
step 11963 (86.6%) | loss: 0.019594 | mae: 33.34 | lrm: 0.45 | dt: 22ms | epoch: 74 | remaining: 40s    
step 11964 (86.6%) | loss: 0.019389 | mae: 26.46 | lrm: 0.45 | dt: 22ms | epoch: 74 | remaining: 40s    
step 11965 (86.6%) | loss: 0.019713 | mae: 33.07 | lrm: 0.45 | dt: 22ms | epoch: 74 | remaining: 40s    
step 11966 (86.7%) | loss: 0.019679 | mae: 33.51 | lrm: 0.44 | dt: 22ms | epoch: 74 | remaining: 40s    
step 11967 (86.7%) | loss: 0.019202 | mae: 33.37 | lrm: 0.44 | dt: 22ms | epoch: 74 | remaining: 40s    
step 11968 (86.7%) | loss: 0.018792 | mae: 38.31 | lrm: 0.44 | dt: 22ms | epoch: 74 | remaining: 40s    
step 11969 (86.7%) | loss: 0.018539 | mae: 34.02 | lrm: 0.44 | dt: 22ms | epoch: 74 | remaining: 40s    
step 11970 (86.7%) | loss: 0.018393 | mae: 29.64 | lrm: 0.44 | dt: 22ms | epoch: 74 | remaining: 40s    
step 11971 (86.7%) | loss: 0.017985 | mae: 26.48 | lrm: 0.44 | dt: 22ms | epoch: 74 | remaining: 40s    
step 11972 (86.7%) | loss: 0.017410 | mae: 31.75 | lrm: 0.44 | dt: 22ms | epoch: 74 | remaining: 40s    
step 11973 (86.7%) | loss: 0.017411 | mae: 39.50 | lrm: 0.44 | dt: 22ms | epoch: 74 | remaining: 40s    
step 11974 (86.7%) | loss: 0.017335 | mae: 32.60 | lrm: 0.44 | dt: 22ms | epoch: 74 | remaining: 40s    
step 11975 (86.7%) | loss: 0.018005 | mae: 26.60 | lrm: 0.44 | dt: 22ms | epoch: 74 | remaining: 40s    
step 11976 (86.7%) | loss: 0.018005 | mae: 32.80 | lrm: 0.44 | dt: 22ms | epoch: 74 | remaining: 40s    
step 11977 (86.7%) | loss: 0.018111 | mae: 32.93 | lrm: 0.44 | dt: 22ms | epoch: 74 | remaining: 40s    
step 11978 (86.7%) | loss: 0.017745 | mae: 25.48 | lrm: 0.44 | dt: 22ms | epoch: 74 | remaining: 40s    
step 11979 (86.7%) | loss: 0.017037 | mae: 30.27 | lrm: 0.44 | dt: 22ms | epoch: 74 | remaining: 40s    
step 11980 (86.8%) | loss: 0.016984 | mae: 29.76 | lrm: 0.44 | dt: 22ms | epoch: 74 | remaining: 40s    
step 11981 (86.8%) | loss: 0.016909 | mae: 32.84 | lrm: 0.44 | dt: 22ms | epoch: 74 | remaining: 40s    
step 11982 (86.8%) | loss: 0.016642 | mae: 30.38 | lrm: 0.44 | dt: 22ms | epoch: 74 | remaining: 40s    
step 11983 (86.8%) | loss: 0.017067 | mae: 20.74 | lrm: 0.44 | dt: 22ms | epoch: 74 | remaining: 40s    
step 11984 (86.8%) | loss: 0.018152 | mae: 25.04 | lrm: 0.44 | dt: 22ms | epoch: 74 | remaining: 40s    
step 11985 (86.8%) | loss: 0.018637 | mae: 30.26 | lrm: 0.44 | dt: 22ms | epoch: 74 | remaining: 40s    
step 11986 (86.8%) | loss: 0.018500 | mae: 33.56 | lrm: 0.44 | dt: 22ms | epoch: 75 | remaining: 40s    
step 11987 (86.8%) | loss: 0.018080 | mae: 30.46 | lrm: 0.44 | dt: 23ms | epoch: 75 | remaining: 40s    
step 11988 (86.8%) | loss: 0.018099 | mae: 25.59 | lrm: 0.44 | dt: 22ms | epoch: 75 | remaining: 40s    
step 11989 (86.8%) | loss: 0.018109 | mae: 24.85 | lrm: 0.44 | dt: 22ms | epoch: 75 | remaining: 40s    
step 11990 (86.8%) | loss: 0.017558 | mae: 30.08 | lrm: 0.44 | dt: 22ms | epoch: 75 | remaining: 39s    
step 11991 (86.8%) | loss: 0.017280 | mae: 32.87 | lrm: 0.44 | dt: 22ms | epoch: 75 | remaining: 39s    
step 11992 (86.8%) | loss: 0.017324 | mae: 36.16 | lrm: 0.44 | dt: 22ms | epoch: 75 | remaining: 39s    
step 11993 (86.9%) | loss: 0.017160 | mae: 35.44 | lrm: 0.44 | dt: 22ms | epoch: 75 | remaining: 39s    
step 11994 (86.9%) | loss: 0.017213 | mae: 32.76 | lrm: 0.44 | dt: 22ms | epoch: 75 | remaining: 39s    
step 11995 (86.9%) | loss: 0.016878 | mae: 27.55 | lrm: 0.44 | dt: 22ms | epoch: 75 | remaining: 39s    
step 11996 (86.9%) | loss: 0.017276 | mae: 37.03 | lrm: 0.44 | dt: 22ms | epoch: 75 | remaining: 39s    
step 11997 (86.9%) | loss: 0.016762 | mae: 31.72 | lrm: 0.44 | dt: 22ms | epoch: 75 | remaining: 39s    
step 11998 (86.9%) | loss: 0.016336 | mae: 33.31 | lrm: 0.44 | dt: 22ms | epoch: 75 | remaining: 39s    
step 11999 (86.9%) | loss: 0.016249 | mae: 33.73 | lrm: 0.44 | dt: 22ms | epoch: 75 | remaining: 39s    
step 12000 (86.9%) | loss: 0.016171 | mae: 43.17 | lrm: 0.44 | dt: 22ms | epoch: 75 | remaining: 39s    
step 12001 (86.9%) | loss: 0.015855 | mae: 33.68 | lrm: 0.44 | dt: 22ms | epoch: 75 | remaining: 39s    
step 12002 (86.9%) | loss: 0.016133 | mae: 23.93 | lrm: 0.44 | dt: 22ms | epoch: 75 | remaining: 39s    
step 12003 (86.9%) | loss: 0.015940 | mae: 32.06 | lrm: 0.44 | dt: 22ms | epoch: 75 | remaining: 39s    
step 12004 (86.9%) | loss: 0.016327 | mae: 29.01 | lrm: 0.44 | dt: 22ms | epoch: 75 | remaining: 39s    
step 12005 (86.9%) | loss: 0.017163 | mae: 35.60 | lrm: 0.44 | dt: 22ms | epoch: 75 | remaining: 39s    
step 12006 (86.9%) | loss: 0.016928 | mae: 31.31 | lrm: 0.44 | dt: 22ms | epoch: 75 | remaining: 39s    
step 12007 (87.0%) | loss: 0.017145 | mae: 32.28 | lrm: 0.43 | dt: 22ms | epoch: 75 | remaining: 39s    
step 12008 (87.0%) | loss: 0.017130 | mae: 29.62 | lrm: 0.43 | dt: 22ms | epoch: 75 | remaining: 39s    
step 12009 (87.0%) | loss: 0.017791 | mae: 33.06 | lrm: 0.43 | dt: 22ms | epoch: 75 | remaining: 39s    
step 12010 (87.0%) | loss: 0.017935 | mae: 29.37 | lrm: 0.43 | dt: 22ms | epoch: 75 | remaining: 39s    
step 12011 (87.0%) | loss: 0.017516 | mae: 31.09 | lrm: 0.43 | dt: 22ms | epoch: 75 | remaining: 39s    
step 12012 (87.0%) | loss: 0.017031 | mae: 26.19 | lrm: 0.43 | dt: 22ms | epoch: 75 | remaining: 39s    
step 12013 (87.0%) | loss: 0.016820 | mae: 30.55 | lrm: 0.43 | dt: 22ms | epoch: 75 | remaining: 39s    
step 12014 (87.0%) | loss: 0.017279 | mae: 34.65 | lrm: 0.43 | dt: 22ms | epoch: 75 | remaining: 39s    
step 12015 (87.0%) | loss: 0.017912 | mae: 31.86 | lrm: 0.43 | dt: 22ms | epoch: 75 | remaining: 39s    
step 12016 (87.0%) | loss: 0.018027 | mae: 36.66 | lrm: 0.43 | dt: 22ms | epoch: 75 | remaining: 39s    
step 12017 (87.0%) | loss: 0.017580 | mae: 31.45 | lrm: 0.43 | dt: 22ms | epoch: 75 | remaining: 39s    
step 12018 (87.0%) | loss: 0.017247 | mae: 34.78 | lrm: 0.43 | dt: 22ms | epoch: 75 | remaining: 39s    
step 12019 (87.0%) | loss: 0.018347 | mae: 37.37 | lrm: 0.43 | dt: 22ms | epoch: 75 | remaining: 39s    
step 12020 (87.0%) | loss: 0.018038 | mae: 27.56 | lrm: 0.43 | dt: 22ms | epoch: 75 | remaining: 39s    
step 12021 (87.1%) | loss: 0.017577 | mae: 37.56 | lrm: 0.43 | dt: 22ms | epoch: 75 | remaining: 39s    
step 12022 (87.1%) | loss: 0.018062 | mae: 28.51 | lrm: 0.43 | dt: 22ms | epoch: 75 | remaining: 39s    
step 12023 (87.1%) | loss: 0.017819 | mae: 29.46 | lrm: 0.43 | dt: 22ms | epoch: 75 | remaining: 39s    
step 12024 (87.1%) | loss: 0.018722 | mae: 29.94 | lrm: 0.43 | dt: 22ms | epoch: 75 | remaining: 39s    
step 12025 (87.1%) | loss: 0.018564 | mae: 32.86 | lrm: 0.43 | dt: 22ms | epoch: 75 | remaining: 39s    
step 12026 (87.1%) | loss: 0.018520 | mae: 24.03 | lrm: 0.43 | dt: 22ms | epoch: 75 | remaining: 39s    
step 12027 (87.1%) | loss: 0.018431 | mae: 32.04 | lrm: 0.43 | dt: 22ms | epoch: 75 | remaining: 39s    
step 12028 (87.1%) | loss: 0.018408 | mae: 30.49 | lrm: 0.43 | dt: 22ms | epoch: 75 | remaining: 39s    
step 12029 (87.1%) | loss: 0.018012 | mae: 31.05 | lrm: 0.43 | dt: 22ms | epoch: 75 | remaining: 39s    
step 12030 (87.1%) | loss: 0.018373 | mae: 29.92 | lrm: 0.43 | dt: 22ms | epoch: 75 | remaining: 39s    
step 12031 (87.1%) | loss: 0.017971 | mae: 36.37 | lrm: 0.43 | dt: 22ms | epoch: 75 | remaining: 39s    
step 12032 (87.1%) | loss: 0.018350 | mae: 26.64 | lrm: 0.43 | dt: 22ms | epoch: 75 | remaining: 39s    
step 12033 (87.1%) | loss: 0.018424 | mae: 27.57 | lrm: 0.43 | dt: 22ms | epoch: 75 | remaining: 39s    
step 12034 (87.1%) | loss: 0.017689 | mae: 33.64 | lrm: 0.43 | dt: 22ms | epoch: 75 | remaining: 39s    
step 12035 (87.2%) | loss: 0.017629 | mae: 33.57 | lrm: 0.43 | dt: 22ms | epoch: 75 | remaining: 39s    
step 12036 (87.2%) | loss: 0.017827 | mae: 34.49 | lrm: 0.43 | dt: 22ms | epoch: 75 | remaining: 38s    
step 12037 (87.2%) | loss: 0.018356 | mae: 32.50 | lrm: 0.43 | dt: 22ms | epoch: 75 | remaining: 38s    
step 12038 (87.2%) | loss: 0.018581 | mae: 29.17 | lrm: 0.43 | dt: 22ms | epoch: 75 | remaining: 38s    
step 12039 (87.2%) | loss: 0.019081 | mae: 31.82 | lrm: 0.43 | dt: 22ms | epoch: 75 | remaining: 38s    
step 12040 (87.2%) | loss: 0.018645 | mae: 39.00 | lrm: 0.43 | dt: 22ms | epoch: 75 | remaining: 38s    
step 12041 (87.2%) | loss: 0.019265 | mae: 31.68 | lrm: 0.43 | dt: 22ms | epoch: 75 | remaining: 38s    
step 12042 (87.2%) | loss: 0.019000 | mae: 32.93 | lrm: 0.43 | dt: 22ms | epoch: 75 | remaining: 38s    
step 12043 (87.2%) | loss: 0.018613 | mae: 31.58 | lrm: 0.43 | dt: 22ms | epoch: 75 | remaining: 38s    
step 12044 (87.2%) | loss: 0.018187 | mae: 37.58 | lrm: 0.43 | dt: 22ms | epoch: 75 | remaining: 38s    
step 12045 (87.2%) | loss: 0.017731 | mae: 36.57 | lrm: 0.43 | dt: 22ms | epoch: 75 | remaining: 38s    
step 12046 (87.2%) | loss: 0.017368 | mae: 29.69 | lrm: 0.43 | dt: 22ms | epoch: 75 | remaining: 38s    
step 12047 (87.2%) | loss: 0.017109 | mae: 28.88 | lrm: 0.43 | dt: 22ms | epoch: 75 | remaining: 38s    
step 12048 (87.3%) | loss: 0.017234 | mae: 22.37 | lrm: 0.42 | dt: 22ms | epoch: 75 | remaining: 38s    
step 12049 (87.3%) | loss: 0.017617 | mae: 30.98 | lrm: 0.42 | dt: 22ms | epoch: 75 | remaining: 38s    
step 12050 (87.3%) | loss: 0.018055 | mae: 35.88 | lrm: 0.42 | dt: 22ms | epoch: 75 | remaining: 38s    
step 12051 (87.3%) | loss: 0.017668 | mae: 34.33 | lrm: 0.42 | dt: 22ms | epoch: 75 | remaining: 38s    
step 12052 (87.3%) | loss: 0.017360 | mae: 36.88 | lrm: 0.42 | dt: 22ms | epoch: 75 | remaining: 38s    
step 12053 (87.3%) | loss: 0.018226 | mae: 35.40 | lrm: 0.42 | dt: 22ms | epoch: 75 | remaining: 38s    
step 12054 (87.3%) | loss: 0.018199 | mae: 30.44 | lrm: 0.42 | dt: 22ms | epoch: 75 | remaining: 38s    
step 12055 (87.3%) | loss: 0.017686 | mae: 33.39 | lrm: 0.42 | dt: 22ms | epoch: 75 | remaining: 38s    
step 12056 (87.3%) | loss: 0.018993 | mae: 32.49 | lrm: 0.42 | dt: 22ms | epoch: 75 | remaining: 38s    
step 12057 (87.3%) | loss: 0.018989 | mae: 29.02 | lrm: 0.42 | dt: 22ms | epoch: 75 | remaining: 38s    
step 12058 (87.3%) | loss: 0.019408 | mae: 24.74 | lrm: 0.42 | dt: 22ms | epoch: 75 | remaining: 38s    
