Vocab size: 100
Model config: {'vocab_size': 100, 'd_model': 256, 'd_ff': 2048, 'n_head': 8, 'd_kv': 64, 'n_encoder_layers': 4, 'n_decoder_layers': 4, 'dropout': 0.04, 'attn_dropout': 0.0, 'relative_attention_num_buckets': 32, 'relative_attention_max_distance': 128}
Pretrained: embedding mapped 38/100 tokens
Pretrained: loaded encoder (4L) + decoder (4L) weights from /home/saumya/.cache/autoresearch/pretrained/models/pretrain/simple
Total parameters: 14,712,576
Estimated FLOPs per sample: 8.827546e+07
Time budget: 300s

step 00180 (1.2%) | loss: 0.135873 | mae: 34.23 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 296s    
step 00181 (1.2%) | loss: 0.138845 | mae: 26.71 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 296s    
step 00182 (1.2%) | loss: 0.138978 | mae: 23.91 | lrm: 1.00 | dt: 21ms | epoch: 2 | remaining: 296s    
step 00183 (1.2%) | loss: 0.136600 | mae: 29.99 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 296s    
step 00184 (1.3%) | loss: 0.135668 | mae: 27.91 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 296s    
step 00185 (1.3%) | loss: 0.129827 | mae: 31.57 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 296s    
step 00186 (1.3%) | loss: 0.131385 | mae: 25.36 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 296s    
step 00187 (1.3%) | loss: 0.133220 | mae: 36.32 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 296s    
step 00188 (1.3%) | loss: 0.128031 | mae: 34.96 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 296s    
step 00189 (1.3%) | loss: 0.130360 | mae: 28.60 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 296s    
step 00190 (1.3%) | loss: 0.129273 | mae: 30.05 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 296s    
step 00191 (1.3%) | loss: 0.129449 | mae: 29.11 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 296s    
step 00192 (1.3%) | loss: 0.131328 | mae: 26.46 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 296s    
step 00193 (1.3%) | loss: 0.130342 | mae: 34.83 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 296s    
step 00194 (1.3%) | loss: 0.128953 | mae: 26.64 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 296s    
