trial	val_mae	memory_gb	status	description
55	7.9886	1.1	ok	batch_size=8 beta1=0.9 dropout=0.1 head_dropout=0.2 head_type=mlp learning_rate=0.001021917584212109 lr_schedule=linear warmup_ratio=0.12 weight_decay=0.04498878446326532
56	5.7489	7.0	ok	batch_size=64 beta1=0.9 dropout=0.05 head_dropout=0.15000000000000002 head_type=mlp learning_rate=0.0006578604396969437 lr_schedule=linear warmup_ratio=0.14 weight_decay=0.04982497242031601
57	5.2881	0.8	ok	batch_size=8 beta1=0.9 dropout=0.0 head_dropout=0.1 head_type=mlp learning_rate=0.0005403314803329451 lr_schedule=linear warmup_ratio=0.08 weight_decay=0.03018998905147139
58	5.6051	1.1	ok	batch_size=8 beta1=0.9 dropout=0.05 head_dropout=0.1 head_type=mlp learning_rate=0.000245014945406015 lr_schedule=linear warmup_ratio=0.08 weight_decay=0.03604254028495004
59	5.3669	1.0	ok	batch_size=8 beta1=0.95 dropout=0.0 head_dropout=0.0 head_type=mlp learning_rate=0.00040483993573100173 lr_schedule=cosine warmup_ratio=0.1 weight_decay=0.030036360964061287
60	5.7918	1.9	ok	batch_size=16 beta1=0.9 dropout=0.05 head_dropout=0.05 head_type=linear learning_rate=0.00017582414276560174 lr_schedule=linear warmup_ratio=0.08 weight_decay=0.03313025324914414
61	4.9500	1.0	ok	batch_size=8 beta1=0.9 dropout=0.0 head_dropout=0.15000000000000002 head_type=mlp learning_rate=0.0005377919993002848 lr_schedule=linear warmup_ratio=0.08 weight_decay=0.04140087983172716
62	5.2997	0.8	ok	batch_size=8 beta1=0.9 dropout=0.0 head_dropout=0.1 head_type=mlp learning_rate=0.0005096828509592662 lr_schedule=linear warmup_ratio=0.08 weight_decay=0.040453414580162175
63	5.4011	0.8	ok	batch_size=8 beta1=0.9 dropout=0.0 head_dropout=0.1 head_type=mlp learning_rate=0.0003143365990034171 lr_schedule=linear warmup_ratio=0.1 weight_decay=0.0422455639312868
64	5.3867	1.3	ok	batch_size=12 beta1=0.9 dropout=0.0 head_dropout=0.2 head_type=mlp learning_rate=0.0004300262085631593 lr_schedule=linear warmup_ratio=0.08 weight_decay=0.03688304068487635
65	5.6241	1.1	ok	batch_size=8 beta1=0.9 dropout=0.05 head_dropout=0.15000000000000002 head_type=mlp learning_rate=0.0005435725004420699 lr_schedule=linear warmup_ratio=0.1 weight_decay=0.03864088492106616
